排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数,短评
175,真爱至上,导演: 理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,595131,爱，是个动词。
176,海街日记,导演: 是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.8,340091,是枝裕和的家庭习作。
177,爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.7,458799,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
178,贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国,剧情 爱情,8.6,623625,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
179,东邪西毒,导演: 王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,483362,电影诗。
180,萤火虫之墓,导演: 高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,349553,幸福是生生不息，却难以触及的远。 
181,寄生虫,导演: 奉俊昊 Joon-ho Bong,2019,韩国,剧情 喜剧,8.8,1111755,
182,惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,9.0,205087,故事的反转与反转，分裂电影的始祖。
183,黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.6,683019,黑暗之美。
184,哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险,8.6,454806,
185,无敌破坏王,导演: 瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,432615,迪士尼和皮克斯拿错剧本的产物。
186,你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.9,276172,感情不分食草或者食肉。
187,小偷家族,导演: 是枝裕和 Hirokazu Koreeda,2018,日本,剧情 犯罪 家庭,8.7,675691,我们组成了家。
188,绿里奇迹,导演: Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,244668,天使暂时离开。
189,冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,8.6,510169,松鼠才是角儿。
190,爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.8,285155,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
191,雨人,导演: 巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,339065,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
192,恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.5,536054,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
193,疯狂的石头,导演: 宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪,8.5,655959,中国版《两杆大烟枪》。
194,九品芝麻官,导演: 王晶 Jing Wong,1994,中国香港 中国大陆,剧情 喜剧 古装,8.6,490033,
195,恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,647209,不要企图在重复中寻找已经失去的爱。
196,奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,468013,世界不完美，爱会有奇迹。
197,雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情,9.0,168715,骨灰级歌舞片。
198,魔女宅急便,导演: 宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.7,374815,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
199,二十二,导演: 郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,239738,有一些东西不应该被遗忘。
200,虎口脱险,导演: 杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,195646,永远看不腻的喜剧。
201,海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,394559,我们都有权利不与自己的过去和解。
202,人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国 英国,剧情 科幻,8.7,358747,对爱的执着，可以超越一切。
203,2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险,8.8,239133,现代科幻电影的开山之作，最伟大导演的最伟大影片。
204,色，戒,导演: 李安 Ang Lee,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.5,570506,假戏真情，爱欲深海
205,房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,319257,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
206,城市之光,导演: Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,109014,永远的小人物，伟大的卓别林。
207,可可西里,导演: 陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.8,241313,坚硬的信仰。
208,罗生门,导演: 黑泽明 Akira Kurosawa,1950,日本,剧情 犯罪 悬疑,8.8,249522,人生的N种可能性。
209,终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.7,284604,少见的超越首部的续集，动作片中的经典。
210,初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.4,837851,黑小鸭速效美白记。
211,大佛普拉斯,导演: 黄信尧 Hsin-yao Huang,2017,中国台湾,剧情 喜剧,8.7,334934,人们可以登上月球，却永远无法探索人们内心的宇宙。
212,波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer,2018,英国 美国,剧情 传记 同性 音乐,8.7,471543,
213,遗愿清单,导演: 罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,8.7,325432,用剩余不多的时间，去燃烧整个生命。
214,魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,226624,中国式内在的美国电影。
215,牯岭街少年杀人事件,导演: 杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪,8.9,211860,弱者送给弱者的一刀。
216,源代码,导演: 邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,675002,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
217,新龙门客栈,导演: 李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.6,359915,嬉笑怒骂，调风动月。
218,青蛇,导演: 徐克 Hark Tsui,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,8.6,417667,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
219,疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller,2015,澳大利亚 南非 美国,动作 科幻 冒险,8.6,423943,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
220,无耻混蛋,导演: Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.6,388525,昆汀同学越来越变态了，比北野武还杜琪峰。
221,血钻,导演: 爱德华·兹威克 Edward Zwick,2006,美国 德国 英国,剧情 惊悚 冒险,8.7,298111,每个美丽事物背后都是滴血的现实。
